name,overview,popularity,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,first_air_year,in_production_True
House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",1.0,0.8422000000000001,0.18839837918532737,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,True
Top Chef VIP,,0.7471715768250136,0.5599999999999999,0.00034122414160801877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,True
De Bondgenoten,,0.5259972471773017,0.6875,0.0006824482832160375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,True
Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",0.431076274650975,0.7917000000000001,0.15926636809554276,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1999.0,True
Suidooster,"Suidooster is a South African television soap opera produced by Suidooster Films which revolves around a matriarch, her family, friends and the people of Suidooster, a small shopping and business centre in the fictional Cape Town suburb of Ruiterbosch.",0.6434629889925259,0.7923,0.0005544892301130305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,True
The Boys,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,0.45802663785878794,0.8473000000000002,0.4240136489656643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019.0,True
Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,0.38386049371657327,0.8231,0.4296011942844956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2005.0,True
The Tonight Show Starring Jimmy Fallon,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.",0.6072845408867807,0.5830000000000001,0.013179782469609725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014.0,True
Come Dine with Me,"Amateur chefs compete against each other by hosting a dinner party for the other contestants. Each competitor then rates the host's performance with the winner winning a £1,000 cash prize. An element of comedy is added to the show through comedian Dave Lamb, who provides a dry and ""bitingly sarcastic"" narration.",0.4590041121720247,0.48,0.001236937513329068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0,True
Tagesschau,"German daily news program, the oldest still existing program on German television.",0.47463517017235113,0.68,0.008615909575602473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952.0,True
"Diners, Drive-Ins and Dives","Host Guy Fieri takes a cross-country road trip to visit some of America's classic ""greasy spoon"" restaurants — diners, drive-ins and dives — that have been doing it right for decades.",0.25313217208307315,0.66,0.002388568991256131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007.0,True
Vikings: Valhalla,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",0.34629059274141133,0.7779,0.034037108125399874,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,False
Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",0.3992261923603895,0.8452999999999999,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011.0,False
CSI: Crime Scene Investigation,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",0.2845518872954606,0.7608,0.051013009170398804,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2000.0,False
The Real World,"Each year, seven strangers in their twenties, from different backgrounds and countries, are chosen to come live together in a major city.",0.2014941842074365,0.5599999999999999,0.0015355086372360845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.0,True
America's Next Top Model,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,0.3143019937647286,0.5322,0.005203668159522286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0,False
The Damage Report with John Iadarola,"Welcome to The Damage Report with John Iadarola, your daily breakdown of the true threats and challenges facing our country and our world. John Iadarola hosts an unflinching, no-holds-barred look at the damage the Trump administration is causing.",0.19569511691638958,0.75,8.530603540200469e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,True
Hell's Kitchen,Aspiring restaurateurs brave Ramsay and his fiery command of the kitchen as he puts the competitors through an intense culinary academy to prove they possess the right combination of ingredients to win a life-changing grand prize.,0.2507264268509545,0.6874,0.01130304969076562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0,True
The Late Show with Stephen Colbert,"Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert, the #1 show in late night, where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology, and more. Featuring bandleader Jon Batiste with his band Stay Human, the Emmy Award-nominated show is broadcast from the historic Ed Sullivan Theater. Stephen Colbert, Chris Licht, Tom Purcell, and Jon Stewart are executive producers. Barry Julien and Denise Rehrig serve as co-executive producers.must watch",0.44822360768841696,0.65,0.011175090637662614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,True
Bob's Burgers,"Bob's Burgers follows a third-generation restaurateur, Bob, as he runs Bob's Burgers with the help of his wife and their three kids. Bob and his quirky family have big ideas about burgers, but fall short on service and sophistication. Despite the greasy counters, lousy location and a dearth of customers, Bob and his family are determined to make Bob's Burgers ""grand re-re-re-opening"" a success.",0.34569678944363663,0.782,0.0381744508423971,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011.0,True
NCIS: Los Angeles,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.",0.33474139922506985,0.75,0.04781403284282363,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2009.0,False
Família é Tudo,"Five half-siblings – Venus, Andromeda, Jupiter, Electra, and Plutao – share the same father, Pedro. Separated by their respective mothers after Pedro's death, the quintet have had few social and intimate interactions since. Years later, now adults, they reunite when their millionaire grandmother disappears on a cruise and is presumed dead. To earn their inheritance, they will have to live and work together for a year in an attempt to bring the family business back to its peak. If they don't succeed, the inheritance will go to their cousin, Hans, who will do anything to get the money from his aunt.",0.32752079602418943,0.6071,0.0002985711239070164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",0.3262350827968337,0.8491,0.5206227340584346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,False
The Kapil Sharma Show,,0.3241342089743097,0.7379,0.0014075495841330773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.0,False
¿Ganar o servir?,,0.3223489825758581,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
First Dates - Ein Tisch für zwei,,0.31604119760134897,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,True
Leading Role,"At the center of this story is Aurora Guerra, a popular actress who became a star in the teen series ""The Chosen Ones"" at an early age. Irene and Julio, Aurora's parents, signed her up for a casting several years ago and the matriarch, realizing that the decision was between her and another girl, managed to play the casting director in Aurora's favor. Lúcia has the same dream: to be a successful actress and decides to apply for the casting as well, but she soon realizes Irene's scheme and decides to confront her. After a violent argument between the two, Lúcia ends up having an accident that almost took her life and killed her chance of becoming an actress, due to the physical disabilities she was left with. Twenty years later, Lucia is determined to take revenge. The young woman wants to get back what she believes Aurora has taken from her, far from imagining that she is just a victim of Irene's evil deeds.",0.31454310708866434,0.63,0.00021326508850501172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023.0,True
Come Home Love: Lo and Behold,"Hung Sue Gan starting from the bottom, established his own logistics company, which is now running smoothly. His only concern now are his three daughters. His eldest daughter has immigrated overseas. His second daughter Hung Yeuk Shui has reached the marriageable age, but has no hopes for marriage anytime soon. She is constantly bickering with her younger sister Hung Sum Yue, who is an honour student, over trivial matters, causing their father to not know whether to laugh or cry. Hung Sue Yan, Hung Sue Gan's brother, moves in with the family, temporarily ending his life as a nomadic photographer. He joins Hung Yeuk Shui's company and encounters Ko Pak Fei, the director of an online shop. The two appear to be former lovers, making for lots of laughter. Since Hung Sue Yan moved in, a series of strange events have occurred in the family. Upon investigation, the source is traced to Lung Ging Fung, a promising young man who is the son of department store mogul Lung Gam Wai.",0.31219820143828364,0.5132,0.001620814672638089,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2017.0,True
This Old House,"TV's original home-improvement show, following one whole-house renovation over several episodes.",0.3076143542798849,0.515,0.0012795905310300703,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1979.0,True
Star Trek: The Next Generation,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds.",0.3068784422911872,0.8343,0.06082320324162935,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1987.0,False
Gutfeld!,Greg Gutfeld examines the news of the day through a satiric lens fused with pop culture.,0.296819930777577,0.4667,0.00012795905310300704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,True
House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",0.2956563457143005,0.8593999999999999,0.27050543825975687,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2004.0,False
Here it all begins,"This television drama series is centered around the prestigious culinary school of renowned chef Auguste Armand. The show follows the lives of students and staff as they navigate the challenges and pressures of the culinary world—delving into their personal and professional lives, revealing secrets, rivalries, and complex relationships.",0.2920279718395802,0.6989000000000001,0.0019620388142461078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020.0,True
Vivir de amor,,0.2795735931071223,0.7509000000000001,0.002431222008957134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Cacau,"Cacau is an engaging saga of family secrets, clandestine loves and sacrifices, all sweetened by the irresistible taste of chocolate and the magic of cocoa plantations.",0.27882421110032757,0.55,0.00034122414160801877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Senhora do Mar,,0.27564663383125254,0.7667,0.00012795905310300704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Hawaii Five-0,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",0.27509503659018164,0.7734000000000001,0.0708040093836639,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010.0,False
Su Ji and U Ri,A healing romance begins between fallen star doctor Jin Su Ji and stubborn newbie doctor Choi U Ri.,0.2744008816575845,0.63,0.00012795905310300704,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Supervivientes All Stars,,0.27274923293859443,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Midsomer Murders,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ",0.2720079329426579,0.7563,0.012156110044785668,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1997.0,True
M*A*S*H,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.",0.2700098802582741,0.7901,0.02708466624013649,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1972.0,False
Binnelanders,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",0.26732687715365944,0.5599999999999999,0.0030283642567711664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0,True
"Plus belle la vie, encore plus belle",,0.2633040562489996,0.30000000000000004,0.00021326508850501172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024.0,True
Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",0.26267276140085494,0.809,0.28846235871187886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013.0,False
